%roundNum, %fitness, %myMovesWeight, %theirMovesWeight, %myPiecesWeight, %theirMovesWeight, %myMovableWeight, %theirMovableWeight, %generationEndTime, %modelsGenerationNum, %modelDiversity
1, 0.0, -1.52287608576, -1.61139774959, 3.42166926901, -1.61139774959, 4.90817234726, -0.58061434629, 12:54:56.176561, 1, 15.0277274797
1, 0.666666666667, 0.157784475646, 4.83740291895, 3.13468292911, 4.83740291895, 5.37923556278, 1.31097635667, 12:54:56.176561, 1, 16.0047030887
1, 0.333333333333, 4.94479059952, -3.53373973452, 1.42004785003, -3.53373973452, -0.663887191076, 7.38727061128, 12:54:56.176561, 1, 26.9145475677
1, 0.333333333333, 4.25154822238, 2.38174105086, 4.17531364923, 2.38174105086, -3.00015612216, 3.46157639567, 12:54:56.176561, 1, 17.3681481586
1, 0.0, 1.72139249498, -2.04507449683, 2.71994028488, -2.04507449683, 4.70672171551, 3.4647795713, 12:54:56.176561, 1, 14.5760686209
1, 0.333333333333, 2.03865104675, 3.03225267276, -0.815337637355, 3.03225267276, -0.455725196562, 3.7685340217, 12:54:56.176561, 1, 12.1995040303
1, 0.0, -3.27741916442, -1.08962899903, 3.89174330534, -1.08962899903, -4.87570502003, 4.48990027562, 12:54:56.176561, 1, 21.5011929058
1, 0.0, -4.3144434274, 1.87114919844, 0.319049101326, 1.87114919844, -0.135233939475, -2.9320555005, 12:54:56.176561, 1, 16.5405105009
1, 0.0, 3.10612732451, -0.338259059622, 3.42267809865, -0.338259059622, 5.8514746047, 2.90228087914, 12:54:56.176561, 1, 16.3772531636
1, 0.0, 1.97906065558, 1.79308785844, -3.59300704005, 1.79308785844, 6.17499504982, -0.286267070065, 12:54:56.176561, 1, 26.4018648414
1, 0.0, -2.54109836356, -2.13486674288, 0.413658720982, -2.13486674288, 0.501374629488, 2.05533301834, 12:54:56.176561, 1, 12.7704358548
1, 0.0, 0.765317920121, -1.67107007355, 1.35814562084, -1.67107007355, 3.18357886993, 1.35812746395, 12:54:56.176561, 1, 11.2609582374
1, 0.666666666667, 2.14304678378, 4.59660643526, 2.55152830796, 4.59660643526, -1.26181556055, -0.669252170298, 12:54:56.176561, 1, 13.269255885
1, 0.0, -1.47518912998, 1.18779670199, 2.13315794615, 1.18779670199, 2.49702285485, -6.51404916623, 12:54:56.176561, 1, 21.1344954554
1, 0.666666666667, 6.16990588635, -1.62157390915, 2.92705570853, -1.62157390915, -3.99701803219, -1.99084838949, 12:54:56.176561, 1, 19.9410517086
