%roundNum, %fitness, %myMovesWeight, %theirMovesWeight, %myPiecesWeight, %theirMovesWeight, %myMovableWeight, %theirMovableWeight, %generationEndTime, %modelsGenerationNum, %modelDiversity, %percentCorrect
1, 9.79049031105, 0.712720766136, -1.96578056873, -1.25087407561, -1.96578056873, 1.37787983729, 1.17064182613, 17:16:04.956399, 1, 9.79049031105, 0.0
1, 333342.487748, -0.368331110524, 2.65483781258, 0.86337526231, 2.65483781258, 3.75528742766, 2.05770691922, 17:16:04.956399, 1, 9.15441507377, 0.333333333333
1, 13.3324344649, 0.629986058491, 0.419222610339, 2.09950997709, 0.419222610339, 2.63875962038, -2.99942373701, 17:16:04.956399, 1, 13.3324344649, 0.0
1, 333347.810314, 4.21254919937, 3.21408941199, -0.144232149164, 3.21408941199, -1.26204452402, 1.17134813325, 17:16:04.956399, 1, 14.4769804424, 0.333333333333
1, 333348.878912, 0.845594583373, -1.98111814001, -2.86804767479, -1.98111814001, -0.157861063116, 5.22576092695, 17:16:04.956399, 1, 15.5455785453, 0.333333333333
1, 14.5065954455, 0.335772452925, -4.30579870937, 0.494917194284, -4.30579870937, -0.435871283975, -0.323525659087, 17:16:04.956399, 1, 14.5065954455, 0.0
1, 333343.285066, 1.15794035733, 3.3430842033, 2.18415757667, 3.3430842033, 3.14194297601, 3.51380161455, 17:16:04.956399, 1, 9.95173219565, 0.333333333333
1, 333355.205355, 5.76414392977, -0.442890012879, 4.57057085961, -0.442890012879, -3.17441361448, 5.1011414752, 17:16:04.956399, 1, 21.8720214276, 0.333333333333
1, 666679.11646, 0.51415707323, 1.81419975765, 2.38992278376, 1.81419975765, 5.9577976264, 4.04045438471, 17:16:04.956399, 1, 12.4497932273, 0.666666666667
1, 333348.49078, 1.44980878889, 1.00273764185, -1.27737822671, 1.00273764185, 5.09820199209, 5.84161900371, 17:16:04.956399, 1, 15.1574469832, 0.333333333333
1, 333341.945843, 1.96533918532, 0.710134810048, 2.93599230304, 0.710134810048, 2.79829533493, 1.98743927132, 17:16:04.956399, 1, 8.61250957719, 0.333333333333
1, 333352.984578, -0.270724959788, -5.73034329293, 5.06782672204, -5.73034329293, 2.65926331609, -0.000137797636857, 17:16:04.956399, 1, 19.6512443528, 0.333333333333
1, 666687.626794, -3.19389896483, 7.48372529483, 2.72552672605, 7.48372529483, -0.55235908453, 0.469303460971, 17:16:04.956399, 1, 20.9601276108, 0.666666666667
1, 12.4920028205, 0.823804820811, -1.60558559083, -2.28902960658, -1.60558559083, -1.41436677721, 2.38422327544, 17:16:04.956399, 1, 12.4920028205, 0.0
1, 666681.685439, 2.10983285057, 3.16762706899, -2.52704318094, 3.16762706899, 5.47015038287, 2.06674441829, 17:16:04.956399, 1, 15.0187727432, 0.666666666667
1, 333343.130844, 0.797587109645, 1.76926636605, 1.72334218432, 1.76926636605, 4.16362259644, -0.274906784903, 17:16:04.956399, 1, 9.79751043135, 0.333333333333
1, 333345.965072, 4.74477886088, 0.241588533833, -0.227812868304, 0.241588533833, -1.86364548186, 3.63561061268, 17:16:04.956399, 1, 12.6317389319, 0.333333333333
1, 12.1219274612, -0.266819132617, -1.85456454284, -0.471661039737, -1.85456454284, 0.35080047337, -2.0953719446, 17:16:04.956399, 1, 12.1219274612, 0.0
1, 666697.963539, -0.42315850824, 11.5453740877, 3.45559546936, 11.5453740877, -2.54769736258, 2.86696589764, 17:16:04.956399, 1, 31.2968723536, 0.666666666667
1, 11.337299457, -1.17590207396, 0.558472244344, 2.91772477947, 0.558472244344, 0.30855893573, -0.911846508621, 17:16:04.956399, 1, 11.337299457, 0.0
1, 13.8322532725, -1.57573891376, 0.241588533833, -0.227812868304, 0.241588533833, 3.62077888963, 0.806647747524, 17:16:05.931224, 2, 13.8322532725, 0.0
1, 666695.419227, 0.107817067124, 11.1437626108, -2.68589343961, 11.1437626108, 5.47015038287, 2.86696589764, 17:16:05.931224, 2, 28.7525602488, 0.666666666667
1, 15.2597825888, 4.74477886088, -0.250451591317, -2.52704318094, -0.250451591317, 4.57205060246, 1.77499937271, 17:16:05.931224, 2, 15.2597825888, 0.0
1, 666699.633012, -1.00754324192, 11.5453740877, 2.78164422702, 11.5453740877, -0.854354896196, 1.9726272223, 17:16:05.931224, 2, 32.9663456318, 0.666666666667
1, 333349.323731, 4.74477886088, 0.663694256369, -0.0821593207631, 0.663694256369, -1.07853740391, 4.23598362439, 17:16:05.931224, 2, 15.9903975709, 0.333333333333
1, 333348.813265, 2.71570536708, 3.51321280072, -2.52704318094, 3.51321280072, 5.9577976264, 5.14214422264, 17:16:05.931224, 2, 15.4799315188, 0.333333333333
1, 24.3997385407, -0.270724959788, -4.3792204295, 3.45559546936, -4.3792204295, -2.6421882233, 2.86696589764, 17:16:05.931224, 2, 24.3997385407, 0.0
1, 333353.770397, 5.44514644281, 3.38409313072, -0.144232149164, 3.38409313072, -2.23666281721, 0.943578961337, 17:16:05.931224, 2, 20.4370636296, 0.333333333333
1, 666681.981237, 2.16439627881, 1.27520534898, 2.38992278376, 1.27520534898, 5.09820199209, 5.88720068, 17:16:05.931224, 2, 15.3145699264, 0.666666666667
1, 666690.731145, -1.81248900517, 7.48372529483, -2.92574873192, 7.48372529483, -0.814833719456, 0.469303460971, 17:16:05.931224, 2, 24.0644783016, 0.666666666667
1, 333348.923386, 1.31593165702, 2.37523221348, 5.06782672204, 2.37523221348, 1.38974132835, 2.06674441829, 17:16:05.931224, 2, 15.590052234, 0.333333333333
