%roundNum, %playerNum, %fitness, %myMovesWeight, %theirMovesWeight, %myPiecesWeight, %theirMovesWeight, %myMovableWeight, %theirMovableWeight, %timeIndividualFinished
0, 0, 0.5, 1.0, 3.0, 1.09233535809, 3.0, 1.0, 3.0, 15:56:11.219721
0, 1, 0.5, 1.0, 3.0, 0.505657010223, 3.0, 0.781608120482, 3.0, 15:57:32.177842
0, 2, 0.5, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 15:58:50.224864
0, 3, 0.5, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 16:00:08.338307
0, 4, 0.5, 1.0, 3.0, 0.849019830479, 3.0, 1.14645636598, 3.0, 16:01:28.746858
1, 0, 0.5, 1.41272128836, 3.0, 0.849019830479, 3.0, 1.14645636598, 3.0, 16:02:48.960280
1, 1, 0.5, 0.870484792844, 3.0, 0.870680449766, 3.0, 1.14645636598, 3.28283558197, 16:04:10.477566
1, 2, 0.5, 0.857957581199, 3.10562723872, 0.849019830479, 3.10562723872, 1.14645636598, 3.0, 16:05:31.622762
1, 3, 0.5, 1.0, 3.0, 0.719142098364, 3.0, 1.14645636598, 3.01366574985, 16:06:52.347443
1, 4, 0.5, 1.0, 3.0, 0.849019830479, 3.0, 0.786616387584, 3.0, 16:08:13.450727
2, 0, 0.5, 1.0, 2.56231605558, 0.831092592365, 2.56231605558, 0.786616387584, 3.0, 16:09:35.064333
2, 1, 0.5, 1.0, 3.0, 0.849019830479, 3.0, 0.786616387584, 3.0, 16:10:55.834282
2, 2, 0.5, 1.0, 3.0, 0.849019830479, 3.0, 0.786616387584, 3.0, 16:12:16.804854
2, 3, 0.5, 1.24891016408, 3.0, 0.849019830479, 3.0, 0.786616387584, 3.0, 16:13:37.397237
2, 4, 0.5, 1.0, 3.0, 0.849019830479, 3.0, 0.786616387584, 3.0, 16:14:58.179295
3, 0, 0.5, 1.0, 3.0, 0.849019830479, 3.0, 0.786616387584, 3.0, 16:16:19.217467
3, 1, 0.5, 1.0, 3.0, 0.849019830479, 3.0, 0.786616387584, 3.0, 16:17:40.410187
3, 2, 0.5, 1.0, 3.0, 0.849019830479, 3.0, 0.786616387584, 3.0, 16:19:01.453572
3, 3, 0.5, 1.0, 3.0, 0.849019830479, 3.0, 0.786616387584, 3.31063009902, 16:20:23.145704
3, 4, 0.5, 1.0, 2.66142792585, 0.849019830479, 2.66142792585, 0.786616387584, 3.0957618491, 16:21:44.839202
4, 0, 0.5, 1.0, 2.66142792585, 0.890790261009, 2.66142792585, 0.786616387584, 3.0957618491, 16:23:06.120201
