%roundNum, %playerNum, %fitness, %myMovesWeight, %theirMovesWeight, %myPiecesWeight, %theirMovesWeight, %myMovableWeight, %theirMovableWeight, %timeIndividualFinished
0, 0, 0.24, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 16:08:53.744822
0, 1, 0.28, 1.0, 3.0, 1.0, 3.0, 1.16322763295, 3.47010820095, 16:09:41.073676
0, 2, 0.38, 1.0, 3.0, 1.0, 3.0, 0.897190827343, 3.0, 16:10:27.443366
0, 3, 0.24, 1.0, 3.0, 1.0, 3.0, 0.572222348191, 3.0, 16:11:15.999330
0, 4, 0.38, 1.0, 3.22347927684, 1.0, 3.22347927684, 1.0, 3.0, 16:12:01.965167
