%roundNum, %playerNum, %fitness, %myMovesWeight, %theirMovesWeight, %myPiecesWeight, %theirMovesWeight, %myMovableWeight, %theirMovableWeight, %timeIndividualFinished
0, 0, 0.46, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 16:08:12.885554
0, 1, 0.36, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 16:08:37.033289
0, 2, 0.3, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 16:09:01.748913
0, 3, 0.24, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 16:09:26.347101
0, 4, 0.2, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 16:09:51.227801
1, 0, 0.3, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 16:10:17.573680
1, 1, 0.24, 1.0, 3.19754610148, 1.0, 3.19754610148, 1.0, 3.0, 16:10:45.233169
1, 2, 0.3, 1.0, 3.0, 1.0, 3.0, 1.42128546467, 3.0, 16:11:12.318362
1, 3, 0.42, 1.0, 3.0, 1.0, 3.0, 0.584858245251, 3.0, 16:11:37.051486
1, 4, 0.24, 1.0, 3.37611679208, 1.0, 3.37611679208, 1.0, 3.0, 16:12:01.568144
2, 0, 0.3, 1.0, 3.37611679208, 1.0, 3.37611679208, 1.0, 3.0, 16:12:26.806934
2, 1, 0.36, 0.509013328536, 3.35672731086, 1.0, 3.35672731086, 1.0, 3.0, 16:12:50.797913
2, 2, 0.32, 1.0, 3.37611679208, 1.0, 3.37611679208, 1.0, 3.0, 16:13:16.649252
2, 3, 0.26, 1.0, 3.37611679208, 1.0, 3.37611679208, 1.0, 3.0, 16:13:42.090147
2, 4, 0.3, 1.0, 3.37611679208, 1.0, 3.37611679208, 1.0, 2.67064460802, 16:14:07.267179
