%roundNum, %playerNum, %fitness, %myMovesWeight, %theirMovesWeight, %myPiecesWeight, %theirMovesWeight, %myMovableWeight, %theirMovableWeight, %timeIndividualFinished
0, 0, 0.0, 1.39422615025, 3.0, 1.0, 3.0, 1.0, 3.0, 15:32:59.458760
0, 1, 0.0, 1.0, 3.0, 1.0, 3.0, 0.719756118112, 3.0, 15:33:24.020522
0, 2, 0.0, 0.877945340011, 3.0, 1.0, 3.0, 1.0, 3.0, 15:33:48.035134
0, 3, 0.0, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 15:34:12.724508
0, 4, 0.0, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 15:34:36.600705
1, 0, 0.0, 1.0, 3.0, 1.0, 3.0, 1.0, 3.34319657886, 15:35:00.199921
1, 1, 0.0, 1.02682297928, 3.0, 1.0, 3.0, 1.0, 3.0, 15:35:25.547365
1, 2, 0.0, 1.0, 3.0, 1.39367025309, 3.0, 1.0, 3.0, 15:35:49.250827
