%roundNum, %fitness, %myMovesWeight, %theirMovesWeight, %myPiecesWeight, %theirMovesWeight, %myMovableWeight, %theirMovableWeight, %roundEndTime
1, 0.64, 1.0, 1.0, 1.0, 1.0, 0.943608833647, 1.1052498224, 22:06:20.328238
1, 0.56, 0.566630747192, 1.0, 1.0, 1.0, 1.0, 0.99505155487, 22:06:20.328238
1, 0.6, 1.0, 1.0, 1.0, 1.0, 1.1570051547, 1.1791007761, 22:06:20.328238
1, 0.68, 0.820777479049, 1.0, 1.0, 1.0, 1.0, 1.0, 22:06:20.328238
1, 0.64, 1.0, 1.0, 1.0, 1.0, 0.716017177272, 1.0, 22:06:20.328238
1, 0.6, 1.0, 1.0, 1.0, 1.0, 1.0, 1.09861934568, 22:06:20.328238
1, 0.68, 1.0, 1.00439856498, 1.25376482636, 1.00439856498, 1.0, 1.28830729815, 22:06:20.328238
1, 0.64, 1.0, 1.0, 0.758348146831, 1.0, 0.625293175798, 0.875475951774, 22:06:20.328238
1, 0.64, 1.00786677541, 1.0, 1.47244273022, 1.0, 1.24859053854, 1.0, 22:06:20.328238
1, 0.6, 1.0, 1.0, 0.963523760428, 1.0, 1.0, 1.0, 22:06:20.328238
2, 0.68, 1.0, 1.00439856498, 1.25376482636, 1.00439856498, 0.587249131148, 1.28830729815, 22:07:00.954942
2, 0.693333333333, 1.0, 1.00439856498, 1.25376482636, 1.00439856498, 1.0, 1.28830729815, 22:07:00.954942
2, 0.693333333333, 1.0, 0.575880665813, 1.25376482636, 0.575880665813, 1.0, 1.28830729815, 22:07:00.954942
2, 0.693333333333, 1.0, 1.00439856498, 1.22342638699, 1.00439856498, 0.685362503767, 1.28830729815, 22:07:00.954942
2, 0.666666666667, 1.0, 1.00439856498, 1.25376482636, 1.00439856498, 1.08311480944, 1.51205867613, 22:07:00.954942
2, 0.706666666667, 1.0, 1.00439856498, 1.35025706561, 1.00439856498, 1.0, 1.28830729815, 22:07:00.954942
2, 0.693333333333, 1.0, 1.00439856498, 1.25376482636, 1.00439856498, 1.0, 1.28830729815, 22:07:00.954942
2, 0.653333333333, 0.869286499627, 0.840377460392, 0.775887871973, 0.840377460392, 1.0, 1.28830729815, 22:07:00.954942
2, 0.693333333333, 1.0, 1.00439856498, 1.25376482636, 1.00439856498, 0.927991104489, 1.77917125236, 22:07:00.954942
2, 0.693333333333, 1.0, 1.00439856498, 1.25376482636, 1.00439856498, 1.0, 1.28830729815, 22:07:00.954942
3, 0.713333333333, 1.0, 1.00439856498, 1.35025706561, 1.00439856498, 1.0, 1.28830729815, 22:07:59.952106
3, 0.706666666667, 1.0, 1.00439856498, 1.35025706561, 1.00439856498, 1.01319357836, 1.28830729815, 22:07:59.952106
3, 0.713333333333, 1.0, 1.00439856498, 1.35025706561, 1.00439856498, 1.0, 1.28830729815, 22:07:59.952106
3, 0.713333333333, 1.0, 1.00439856498, 1.35025706561, 1.00439856498, 1.0, 1.25156960003, 22:07:59.952106
3, 0.713333333333, 1.0, 1.00439856498, 1.35025706561, 1.00439856498, 1.0, 1.28830729815, 22:07:59.952106
3, 0.713333333333, 1.0, 1.00439856498, 1.35025706561, 1.00439856498, 1.0, 1.28830729815, 22:07:59.952106
3, 0.686666666667, 1.0, 1.30960581697, 1.35025706561, 1.30960581697, 0.701235959693, 0.93031498144, 22:07:59.952106
3, 0.706666666667, 1.0, 1.00439856498, 1.35025706561, 1.00439856498, 0.72977546132, 1.28830729815, 22:07:59.952106
3, 0.72, 1.0, 0.638729758207, 1.13540736372, 0.638729758207, 1.0, 1.28830729815, 22:07:59.952106
3, 0.713333333333, 1.20635306185, 1.00439856498, 1.0468618831, 1.00439856498, 1.0, 1.32314903978, 22:07:59.952106
4, 0.724, 1.0, 0.638729758207, 1.13540736372, 0.638729758207, 1.0, 1.28830729815, 22:09:10.709251
4, 0.716, 0.54721511311, 0.638729758207, 1.13540736372, 0.638729758207, 1.0, 1.28830729815, 22:09:10.709251
4, 0.724, 1.0, 0.638729758207, 1.56131217405, 0.638729758207, 1.0, 1.28830729815, 22:09:10.709251
4, 0.724, 1.0, 0.638729758207, 1.13540736372, 0.638729758207, 1.0, 1.20206577167, 22:09:10.709251
4, 0.712, 1.23049164894, 0.626837248961, 0.664143171693, 0.626837248961, 0.919814223152, 1.28830729815, 22:09:10.709251
4, 0.724, 1.0, 0.638729758207, 1.13540736372, 0.638729758207, 1.0, 1.28830729815, 22:09:10.709251
4, 0.724, 1.0, 0.638729758207, 1.63449968087, 0.638729758207, 0.836067159076, 1.28830729815, 22:09:10.709251
4, 0.724, 1.0, 0.638729758207, 1.13540736372, 0.638729758207, 0.98603609139, 1.28830729815, 22:09:10.709251
4, 0.724, 1.0, 0.638729758207, 1.13540736372, 0.638729758207, 1.0, 1.28830729815, 22:09:10.709251
4, 0.72, 1.25551586033, 0.824438411473, 1.10609588901, 0.824438411473, 1.0, 1.28830729815, 22:09:10.709251
5, 0.717333333333, 1.0, 0.638729758207, 1.13540736372, 0.638729758207, 1.0, 1.28830729815, 22:10:41.538229
5, 0.714666666667, 1.0, 0.638729758207, 1.13540736372, 0.638729758207, 1.0, 1.4075398716, 22:10:41.538229
5, 0.717333333333, 1.0, 0.638729758207, 1.13540736372, 0.638729758207, 1.0, 1.28830729815, 22:10:41.538229
5, 0.709333333333, 0.65045877078, 0.474342838611, 1.13540736372, 0.474342838611, 0.943853855789, 1.28830729815, 22:10:41.538229
5, 0.698666666667, 1.0, 1.12585018938, 0.66616576115, 1.12585018938, 0.793940989668, 1.28830729815, 22:10:41.538229
5, 0.717333333333, 1.0, 0.638729758207, 1.13540736372, 0.638729758207, 1.0, 1.28830729815, 22:10:41.538229
5, 0.709333333333, 1.0, 0.95497258972, 1.13540736372, 0.95497258972, 1.0, 1.28830729815, 22:10:41.538229
5, 0.714666666667, 1.15175193571, 0.638729758207, 1.13540736372, 0.638729758207, 1.31469590163, 1.28830729815, 22:10:41.538229
5, 0.717333333333, 1.0, 0.638729758207, 1.13540736372, 0.638729758207, 1.0, 1.28830729815, 22:10:41.538229
5, 0.709333333333, 1.0, 0.938359012342, 1.13540736372, 0.938359012342, 1.0, 1.28830729815, 22:10:41.538229
6, 0.712380952381, 1.0, 0.169128893372, 1.13540736372, 0.169128893372, 1.0, 1.28830729815, 22:12:34.516891
6, 0.699047619048, 1.0, 1.07068667805, 0.80459017613, 1.07068667805, 1.02168581507, 1.16771306202, 22:12:34.516891
6, 0.710476190476, 1.0, 0.564548423273, 1.13540736372, 0.564548423273, 1.0, 1.28830729815, 22:12:34.516891
6, 0.708571428571, 1.0, 0.638729758207, 1.13540736372, 0.638729758207, 1.0, 1.46352143514, 22:12:34.516891
6, 0.708571428571, 0.841190473112, 0.638729758207, 1.13540736372, 0.638729758207, 1.0, 1.28830729815, 22:12:34.516891
6, 0.710476190476, 1.0, 0.638729758207, 1.13540736372, 0.638729758207, 1.0, 1.28830729815, 22:12:34.516891
