%gameNum, %player1Name, %player2Name, player1NodesExplores, players2NodesExplored, winner, player1ABPruned, player2ABPruned
85 , Random , MinimaxDepth3Jocque , 0, 2259 , 2, N/A, True
86 , Random , MinimaxDepth3Jocque , 0, 2836 , 2, N/A, True
87 , Random , MinimaxDepth3Jocque , 0, 5701 , 2, N/A, True
88 , Random , MinimaxDepth3Jocque , 0, 3027 , 2, N/A, True
89 , Random , MinimaxDepth3Jocque , 0, 3729 , 1, N/A, True
90 , Random , MinimaxDepth3Jocque , 0, 3734 , 2, N/A, True
91 , Random , MinimaxDepth3Jocque , 0, 4676 , 2, N/A, True
92 , Random , MinimaxDepth3Jocque , 0, 3463 , 2, N/A, True
93 , Random , MinimaxDepth3Jocque , 0, 6196 , 2, N/A, True
94 , Random , MinimaxDepth3Jocque , 0, 5200 , 1, N/A, True
95 , Random , MinimaxDepth3Jocque , 0, 3070 , 2, N/A, True
96 , Random , MinimaxDepth3Jocque , 0, 1660 , 2, N/A, True
97 , Random , MinimaxDepth3Jocque , 0, 2600 , 2, N/A, True
98 , Random , MinimaxDepth3Jocque , 0, 4287 , 2, N/A, True
99 , Random , MinimaxDepth3Jocque , 0, 4848 , 2, N/A, True
