%gameNum, %player1Name, %player2Name, player1NodesExplores, players2NodesExplored, winner, player1ABPruned, player2ABPruned
85 , MinimaxDepth3Jocque , Random , 11351 , 0, 2, True , N/A
86 , MinimaxDepth3Jocque , Random , 8807 , 0, 1, True , N/A
87 , MinimaxDepth3Jocque , Random , 12133 , 0, 1, True , N/A
88 , MinimaxDepth3Jocque , Random , 15710 , 0, 2, True , N/A
89 , MinimaxDepth3Jocque , Random , 13442 , 0, 1, True , N/A
90 , MinimaxDepth3Jocque , Random , 10715 , 0, 2, True , N/A
91 , MinimaxDepth3Jocque , Random , 6209 , 0, 1, True , N/A
92 , MinimaxDepth3Jocque , Random , 5956 , 0, 1, True , N/A
93 , MinimaxDepth3Jocque , Random , 12609 , 0, 1, True , N/A
94 , MinimaxDepth3Jocque , Random , 8810 , 0, 2, True , N/A
95 , MinimaxDepth3Jocque , Random , 8387 , 0, 2, True , N/A
96 , MinimaxDepth3Jocque , Random , 13284 , 0, 1, True , N/A
97 , MinimaxDepth3Jocque , Random , 6943 , 0, 1, True , N/A
98 , MinimaxDepth3Jocque , Random , 9860 , 0, 2, True , N/A
99 , MinimaxDepth3Jocque , Random , 12454 , 0, 2, True , N/A
