%roundNum, %playerNum, %fitness, %myMovesWeight, %theirMovesWeight, %myPiecesWeight, %theirMovesWeight, %myMovableWeight, %theirMovableWeight, %timeIndividualFinished
9, 1, 0.4, 1.04831263415, 2.38179780899, 0.848626185051, 2.38179780899, 1.43707072501, 2.80430526694, 16:27:48.882589
9, 2, 0.4, 1.04831263415, 2.38179780899, 0.848626185051, 2.38179780899, 1.43707072501, 2.80430526694, 16:28:14.522273
9, 3, 0.34, 0.851786573295, 2.38179780899, 0.848626185051, 2.38179780899, 1.43707072501, 2.80430526694, 16:28:40.828097
9, 4, 0.3, 1.04831263415, 2.38179780899, 1.09553891009, 2.38179780899, 1.43707072501, 2.80430526694, 16:29:07.776321
10, 0, 0.4, 1.26094865151, 2.38179780899, 1.09553891009, 2.38179780899, 1.43707072501, 2.80430526694, 16:29:35.336840
10, 1, 0.38, 0.758290433488, 2.83932238066, 0.720119284277, 2.83932238066, 1.43707072501, 2.80430526694, 16:30:00.587705
10, 2, 0.28, 1.04831263415, 2.85889590274, 1.09553891009, 2.85889590274, 1.43707072501, 2.80430526694, 16:30:26.391817
10, 3, 0.32, 1.04831263415, 2.38179780899, 1.4624300027, 2.38179780899, 1.43707072501, 2.80430526694, 16:30:52.831331
10, 4, 0.3, 1.04831263415, 2.38179780899, 1.09553891009, 2.38179780899, 1.43707072501, 2.80430526694, 16:31:18.774011
11, 0, 0.34, 1.04831263415, 2.38179780899, 1.17767380112, 2.38179780899, 1.43707072501, 2.80430526694, 16:31:44.734805
11, 1, 0.36, 1.04831263415, 2.38179780899, 1.09553891009, 2.38179780899, 0.977995186369, 2.80430526694, 16:32:09.100622
11, 2, 0.3, 1.04831263415, 1.89822605339, 1.09553891009, 1.89822605339, 1.35935160209, 2.80430526694, 16:32:35.758516
11, 3, 0.4, 1.04831263415, 2.38179780899, 1.09553891009, 2.38179780899, 1.43707072501, 2.80430526694, 16:33:00.695469
11, 4, 0.38, 1.04831263415, 2.38179780899, 1.09553891009, 2.38179780899, 1.43707072501, 2.80430526694, 16:33:27.811224
12, 0, 0.24, 1.04831263415, 2.38179780899, 1.09553891009, 2.38179780899, 1.43707072501, 2.80430526694, 16:33:52.719994
12, 1, 0.34, 1.04831263415, 2.38179780899, 1.14866537823, 2.38179780899, 1.43707072501, 2.80430526694, 16:34:19.235917
12, 2, 0.36, 1.04831263415, 2.64607843161, 1.09553891009, 2.64607843161, 1.43707072501, 2.80430526694, 16:34:44.343313
12, 3, 0.4, 0.923536937629, 2.38179780899, 1.09553891009, 2.38179780899, 1.43707072501, 2.80430526694, 16:35:09.744044
12, 4, 0.26, 1.04831263415, 2.38179780899, 1.09553891009, 2.38179780899, 1.53647400323, 2.80430526694, 16:35:35.637072
